"congress_account_id","id","thomas_id","chamber","api_uri","first_name","middle_name","last_name","party","twitter_account","facebook_account","facebook_id","url","rss_url","domain","dw_nominate","ideal_point","seniority","next_election","state","missed_votes_pct","votes_with_party_pct","district","stdis","congress_account","description","statusesCount","followersCount","favoritesCount","friendsCount","personal_url","name","created","protected","verified","screenName","location","listedCount","followRequestSent","profileImageUrl"
"1009269193","L000563","1781","House","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/L000563.json","Daniel",NA,"Lipinski","D","replipinski","repdanlipinski","103286879730089","http://www.lipinski.house.gov/","http://www.lipinski.house.gov/common/rss//index.cfm?rss=25","www.lipinski.house.gov","-0.226","-0.474498823","10","2014","IL","3.53","85.77","3","IL3","replipinski","Proudly representing the people of Illinois' 3rd Congressional District. Follow me on Facebook at http://t.co/The2w76j",380,1529,80,487,"http://t.co/CHbyJlgm","Rep. Daniel Lipinski",2012-12-13 17:03:06,FALSE,TRUE,"RepLipinski","",138,FALSE,"http://pbs.twimg.com/profile_images/2971346902/d1cb42b1effd617fc324380327c90c99_normal.jpeg"
"10102032","L000111","666","House","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/L000111.json","Tom",NA,"Latham","R","TomLatham","tom.latham.733","345331988887412","http://latham.house.gov/","http://latham.house.gov/news/rss.aspx","latham.house.gov","0.516","0.607454759","20","2014","IA","1.05","91.41","3","IA3","tomlatham","United States Congressman representing the good people of Iowa.",1123,10052,20,1218,"http://t.co/QqszZPgAIk","Tom Latham",2007-11-09 16:09:46,FALSE,TRUE,"TomLatham","Clive, IA",782,FALSE,"http://pbs.twimg.com/profile_images/378800000444473599/93f12c3ae9063fc156226597487c24c2_normal.jpeg"
"1027156464","N000187","2108","House","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/N000187.json","Gloria",NA,"Negrete McLeod","D","RepMcLeod","NegreteMcLeod","282772691776629","http://negretemcleod.house.gov/","http://negretemcleod.house.gov/rss.xml","negretemcleod.house.gov","-0.432","-1.067452886","2",NA,"CA","14.25","91.46","35","CA35","repmcleod","Official Twitter of Congresswoman Gloria Negrete McLeod proudly representing California's 35th District.",229,2002,58,213,"https://t.co/EBxfleJc","Gloria NegreteMcLeod",2012-12-21 21:13:04,FALSE,TRUE,"RepMcLeod","Chino, CA",166,FALSE,"http://pbs.twimg.com/profile_images/424269298081619968/tlnJYPn1_normal.jpeg"
"1037321378","T000472","2110","House","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/T000472.json","Mark",NA,"Takano","D","RepMarkTakano","RepMarkTakano","262447300551014","http://takano.house.gov/","http://takano.house.gov/rss.xml","takano.house.gov","-0.481","-1.246752723","2",NA,"CA","0.26","93.97","41","CA41","repmarktakano","Representing CA's 41st District - Member of the House Veterans' Affairs Committee & House Science, Space and Technology Committee",615,5683,7,2003,"http://t.co/L9dDnqhJ","Mark Takano",2012-12-26 14:58:17,FALSE,TRUE,"RepMarkTakano","Riverside, CA",293,FALSE,"http://pbs.twimg.com/profile_images/378800000829724857/328a666c984a5bd66583208f12fb8e2d_normal.jpeg"
"1045110018","K000380","2134","House","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/K000380.json","Dan",NA,"Kildee","D","RepDanKildee","RepDanKildee","484166588292670","http://danielkildee.house.gov/","http://dankildee.house.gov/rss.xml","danielkildee.house.gov","-0.401","-1.103256659","2",NA,"MI","0.39","94.49","5","MI5","repdankildee","Honored to represent Michigan's Fifth Congressional District. Born and raised in Flint. Proud husband, father and grandfather.",740,7384,3,7406,"http://t.co/0rIZMRJQSp","Rep. Dan Kildee",2012-12-29 15:05:47,FALSE,TRUE,"RepDanKildee","Michigan and Washington, D.C.",274,FALSE,"http://pbs.twimg.com/profile_images/3447387006/0ec91a6448484925bed715af707a0888_normal.jpeg"
"1045853744","M001189","2130","House","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/M001189.json","Luke",NA,"Messer","R","RepLukeMesser","RepLukeMesser","367444640018564","http://messer.house.gov/","http://messer.house.gov/rss.xml","messer.house.gov","0.806","1.159997688","2",NA,"IN","1.96","96.40","6","IN6","replukemesser","Congressman for Indiana's 6th Congressional District",538,2961,44,580,"http://t.co/ppXKMWSIGC","Rep. Luke Messer",2012-12-29 20:06:12,FALSE,FALSE,"RepLukeMesser","Shelbyville, IN",241,FALSE,"http://pbs.twimg.com/profile_images/3627046359/47dae8067be59d9ae3f25156353adb88_normal.jpeg"
"1048784496","C001096","2144","House","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001096.json","Kevin",NA,"Cramer","R","RepKevinCramer","CongressmanKevinCramer","498751820147706","http://cramer.house.gov/","http://cramer.house.gov/rss.xml","cramer.house.gov","0.419","0.632098523","2",NA,"ND","4.58","93.70","1","ND1","repkevincramer","Representing the great people of North Dakota in the United States House of Representatives. Member of @NatResources and @HouseScience.",589,2543,10,586,"http://t.co/qcKOjPFIDo","Rep. Kevin Cramer",2012-12-30 20:54:06,FALSE,TRUE,"RepKevinCramer","",178,FALSE,"http://pbs.twimg.com/profile_images/378800000016478122/c0ce3488c96566da970bd0ffec2599a5_normal.jpeg"
"1051127714","M001188","2148","House","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/M001188.json","Grace",NA,"Meng","D","RepGraceMeng","repgracemeng","195734010571362","http://meng.house.gov/","http://meng.house.gov/rss.xml","meng.house.gov","-0.367","-0.998330358","2",NA,"NY","6.14","93.45","6","NY6","repgracemeng","Representing NY's 6th Congressional District- Parts of West, Central and Northeast Queens.",1215,3556,10,521,"http://t.co/P1ajY4Fn","Grace Meng",2012-12-31 20:28:41,FALSE,TRUE,"RepGraceMeng","",220,FALSE,"http://pbs.twimg.com/profile_images/3257470174/64291ff1f090e3193c2764925000a1fa_normal.jpeg"
"1051446626","W000812","2137","House","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/W000812.json","Ann",NA,"Wagner","R","RepAnnWagner","RepAnnWagner","215485388588143","http://wagner.house.gov/","http://wagner.house.gov/rss.xml","wagner.house.gov","0.723","1.110056394","2",NA,"MO","3.01","97.71","2","MO2","repannwagner","Official Twitter account for Congresswoman Ann Wagner-- proudly Representing the 2nd Congressional District of Missouri
http://t.co/ozYKLyoI",911,5353,23,2812,"http://t.co/cB2h9V8jY0","Ann Wagner",2013-01-01 00:01:45,FALSE,TRUE,"RepAnnWagner","Ballwin, MO",312,FALSE,"http://pbs.twimg.com/profile_images/378800000119563961/e705a9e31e414148006bd8a034384b35_normal.jpeg"
"1055685948","N000127","867","House","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/N000127.json","Rick",NA,"Nolan","D","usrepricknolan","UsRepRickNolan","388085277945339","http://nolan.house.gov/","http://nolan.house.gov/rss.xml","nolan.house.gov","-0.444","-0.887738622","2",NA,"MN","2.61","88.99","8","MN8","usrepricknolan","This is the official Twitter account for U.S Congressman Rick Nolan, proudly serving the people of Minnesota's 8th Congressional District.",809,2765,22,782,"http://t.co/Yv7W0ZPnhx","U.S. Rep. Rick Nolan",2013-01-02 17:51:28,FALSE,TRUE,"USRepRickNolan","",225,FALSE,"http://pbs.twimg.com/profile_images/378800000386725730/3c1433ee8b6ad5d09eec74050a29e1df_normal.jpeg"
